"campo" "valor"
"dados_id" "ctb0009"
"dados_titulo" "Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta"
"dados_autor" "Pablo Miguel (pablo.ufsm em gmail com); Ricardo Simão Diniz Dalmolin (dalmolin em ufsm br)"
"organizacao_nome" "Universidade Federal de Santa Maria (UFSM)"
"organizacao_local" "Av. Roraima , 1000.0, Santa Maria, Brasil, 97105-900 "
"organizacao_url" "http://w3.ufsm.br/ppgcs/"
"dados_descricao" "As fontes de produção de sedimentos analisadas na área foram estradas, canais fluviais e amostras da camada superficial do solo, esta última definida como “malha”, abrangendo os diferentes usos da terra, classes de solo e geologia encontrados na área de estudo. As amostras das estradas (E) e canais (C) foram coletadas em locais onde está ocorrendo a remoção de material, geralmente entre 50 e 100 cm de profundidade. Nas estradas, as amostras foram mais representativas de horizontes subsuperficiais e nos canais onde o rio imprime maior energia para retirada de material das margens. As amostras da camada superficial do solo foram obtidas em estudos desenvolvidos por Pablo Miguel (dissertação 'Caracterização pedológica, uso da terra e modelagem da perda de solo em áreas de encosta do Rebordo do Planalto do RS') e Alessandro Samuel-Rosa (dissertação 'Funções de predição espacial de propriedades do solo'). As coordenadas espaciais dos pontos de amostragem nas estradas e canais, bem como dos torpedos, foram inferidas posteriormente usando o Google My Maps."
"area_conhecimento" "Manejo e Conservação do Solo"
"palavras_chave" "Fingerprinting; Elementos traçadores; Erosão hídrica; Áreas de encosta; Mineralogia;"
"dados_publicacao" "http://dx.doi.org/10.1590/S0100-06832014000200023; http://w3.ufsm.br/ppgcs/images/Teses/PABLO-MIGUEL-TESE.pdf"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY 4.0 Atribuição"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "incompletos (menos de 70% de cobertura)"
"dados_consistencia" "consistência estrutural"
