PERFIL,CLAS,LONG,LAT,ALT,RL,CIT
1,Plintossolo Pétrico Concrecionário câmbico,"-50,347767","-6,399771",714,Plano,"RIBEIRO, Acauã. 2009"
2,Plintossolo Pétrico Concrecionário latossólico,"-50,348038","-6,399934",768,Suave Ondulado,"RIBEIRO, Acauã. 2009"
3,Plintossolo Pétrico Litoplíntico típico,"-50,344626","-6,4023",731,Plano,"RIBEIRO, Acauã. 2009"
4,Plintossolo Pétrico Concrecionário Perférrico léptico,"-50,359","-6,409",880,Montanhoso,"RIBEIRO, Acauã. 2009"
5,Organossolo Háplico Sáprico típico,"-50,374","-6,401",713,Plano,"RIBEIRO, Acauã. 2009"
6,Plintossolo Pétrico Litoplíntico típico,"-50,347","-6,399",770,Plano,"RIBEIRO, Acauã. 2009"
7,Plintossolo Pétrico Litoplíntico típico,"-50,34","-6,412",810,Pano,"RIBEIRO, Acauã. 2009"
8,Cambissolo Húmico Tb distrófico léptico,"-50,319","-6,408",736,Plano,"RIBEIRO, Acauã. 2009"
9,Organossolo Háplico Hêmico típico,"-50,319","-6,409",736,Plano,"RIBEIRO, Acauã. 2009"
10,Plintossolo Pétrico Litoplintico hístico,"-50,319","-6,408",720,Suave ondulado,"RIBEIRO, Acauã. 2009"
11,Plintossolo Pétrico Litoplíntico típico,"-50,311","-6,403",721,Plano,"RIBEIRO, Acauã. 2009"
12,Latossolo Vermelho Acriférrico petroplintico,"-50,348038","-6,399934",694,Plano,"RIBEIRO, Acauã. 2009"
13,Plintossolo Pétrico Litoplíntico hístico,"-50,409","-6,344",609,Ondulado,"RIBEIRO, Acauã. 2009"
14,Cambissolo Háplico Tb Distrófico latossólico A moderado,"-40,692","-20,452",605,,"ALKIMIM, Akenya Freire de.  2009"
15,Neossolo Quartzarênico Órtico Distrófico A moderado,"-40,693","-20,453",609,,"ALKIMIM, Akenya Freire de.  2009"
16,Latossolo Vermelho-Amarelo Distrófico típico A moderado,"-40,704","-20,549",391,,"ALKIMIM, Akenya Freire de.  2009"
17,Cambissolo Háplico Tb Distrófico típico A moderado,"-40,686","-20,549",376,,"ALKIMIM, Akenya Freire de.  2009"
18,Latossolo Amarelo Distrocoeso típico A moderado,"-40,678","-20,806",47,,"ALKIMIM, Akenya Freire de.  2009"
19,Neossolo Flúvico Tb Distrófico típico A moderado,"-40,745","-20,635",12,,"ALKIMIM, Akenya Freire de.  2009"
20,Argissolo Vermelho-Amarelo Tb Distrófico típico A moderado,"-40,8","-20,593",340,,"ALKIMIM, Akenya Freire de.  2009"
21,Neossolo Litólico Eutrófico típico A moderado,"-40,657","-20,807",13,,"ALKIMIM, Akenya Freire de.  2009"
22,Gleissolo Háplico Tb Distrófico típico,"-40,844","-20,604",497,,"ALKIMIM, Akenya Freire de.  2009"
23,Espodossolos Ferrihumilúvico Hidromórfico dúrico.,"-39,74138889","-17,70361111",80,Plano,"OLIVEIRA, Aline Pacobahyba de. 2007"
24,Espodossolo Ferrihumilúvico Hidromórfico dúrico,"-39,60916667","-17,5575",106,Plano,"OLIVEIRA, Aline Pacobahyba de. 2007"
25,Espodossolo Ferrihumilúvico Hidromórfico dúrico,"-39,50833333","-17,50111111",80,Plano,"OLIVEIRA, Aline Pacobahyba de. 2007"
